Herd,Intercept,Distance to Cutblock,Distance to Road
Charlotte Alplands,-0.758437388,-0.039653477,0.207113182
Chase,-1.304903886,0.003436347,0.074882711
Finlay,-0.933538102,-0.015060089,0.051284625
Frog,-0.673125621,-0.008069236,0.08512746
Graham,-1.80111359,-0.01090253,0.146690756
Itcha-Ilgachuz,-1.040989802,0.00178055,0.017581164
Muskwa,-2.806298673,0.017114435,0.041605851
Pink Mountain,-2.174064586,-0.009012113,0.146641918
Rainbows,-0.656362586,0.064341694,0.023566888
Spatsizi,-1.378797655,-0.001944467,0.057087996
Telkwa,-1.750547055,0.04276725,0.097043753
Tsenaglode,-0.926668688,-0.000800565,0.082885478
Tweedsmuir,-1.631506506,-0.001560724,0.027033532
