Herd,Intercept,Dist. to Cutblock,Dist. to Road,Mean Dist. to Resource Road (Home Range),Dist. Resource Road x Mean Dist. to Resource Road
Charlotte Alplands,-0.730962007,-0.03958484,0.214634432,-0.04472,-0.003105898
Chase,-1.222796816,0.003651638,0.0738647,-0.030685611,-0.003105898
Finlay,-1.030440419,-0.014868032,0.049856667,0.000397271,-0.003105898
Frog,-1.127268593,-0.008059152,0.082677118,0.005576933,-0.003105898
Graham,-1.762923131,-0.010868379,0.146666651,-0.036270969,-0.003105898
Itcha-Ilgachuz,-1.12391832,0.002074305,0.01674886,0.015050842,-0.003105898
Muskwa,-2.446312943,0.018505889,0.041100661,-0.081456558,-0.003105898
Pink Mountain,-2.152628261,-0.009116135,0.147430111,-0.027653687,-0.003105898
Rainbows,-0.803340182,0.064211436,0.023313739,0.04105938,-0.003105898
Spatsizi,-1.629526496,-0.001098801,0.055774675,0.015259285,-0.003105898
Telkwa,-1.727512331,0.043195757,0.097094914,-0.0226207,-0.003105898
Tsenaglode,-1.103283587,-0.001638872,0.080349416,0.011167038,-0.003105898
Tweedsmuir,-1.700631246,-0.001488269,0.026086096,-0.004716132,-0.003105898
