TFL_TSA_NAME,SCALE_YEAR,volume_m3
Quesnel TSA,1999,2448473.8
Quesnel TSA,2000,2629767
Quesnel TSA,2001,2972290.4
Quesnel TSA,2002,3169597.662
Quesnel TSA,2003,3206373.716
Quesnel TSA,2004,2773236.347
Quesnel TSA,2005,3819409.009
Quesnel TSA,2006,3664974.193
Quesnel TSA,2007,3681043.057
Quesnel TSA,2008,4312016.6
Quesnel TSA,2009,3402847.812
Quesnel TSA,2010,3507597.945
Quesnel TSA,2011,3616282.606
Quesnel TSA,2012,4224263.485
Quesnel TSA,2013,3956617.564
Quesnel TSA,2014,2689385.432
Quesnel TSA,2015,3036062.892
Quesnel TSA,2016,2619222.431
Quesnel TSA,2017,2221836.309
Quesnel TSA,2018,2229196.086
Quesnel TSA,2019,1371674.111
Williams Lake TSA,1999,3914278.9
Williams Lake TSA,2000,3684099.2
Williams Lake TSA,2001,3444482.31
Williams Lake TSA,2002,3311552.832
Williams Lake TSA,2003,3684593.132
Williams Lake TSA,2004,3427882.051
Williams Lake TSA,2005,4250455.773
Williams Lake TSA,2006,4191363.023
Williams Lake TSA,2007,3923586.965
Williams Lake TSA,2008,3432505.166
Williams Lake TSA,2009,2208207.15
Williams Lake TSA,2010,2710479.423
Williams Lake TSA,2011,2777098.375
Williams Lake TSA,2012,2726512.164
Williams Lake TSA,2013,2718230.72
Williams Lake TSA,2014,2334256.42
Williams Lake TSA,2015,3001272.505
Williams Lake TSA,2016,2552370.359
Williams Lake TSA,2017,2086566.244
Williams Lake TSA,2018,2678079.151
Williams Lake TSA,2019,1758578.26
